RATING,LAUNCHPAD,PROJECT,START,TOKEN,REWIEW,PROGRESS
2.8,Probit Launchpad,WeGen,"18 Mar, 2019",WGC,Coming soonPRO,Ended—
2.2,Bitforex Launchpad,XTock,"15 Mar, 2019",XTX,Coming soonPRO,Ended—
4.0,Exmarkets Launchpad,Decimated,"06 Mar, 2019",DIO,Coming soonPRO,Ended—
2.8,Latoken Launchpad,Tokenmom,"31 Jan, 2019",TM,Coming soonPRO,Ended—
2.7,Latoken Launchpad,WHIRL,"26 Nov, 2018",WRL,Coming soonPRO,Ended—
2.6,Latoken Launchpad,Alfa-Enzo,"16 Nov, 2018",NZO,Coming soonPRO,Ended—
4.1,Exmarkets Launchpad,SID Token,"15 Nov, 2018",SIDT,Coming soonPRO,Ended—
1.5,Bitforex Launchpad,Luxbio,"15 Nov, 2018",BIO,Coming soonPRO,Ended—
3.2,Latoken Launchpad,Medical Cannabis,"31 Aug, 2018",MCan,Coming soonPRO,Ended—
3.6,Bitfinex Launchpad,Dusk Network,"01 Aug, 2018",DUSK,Coming soonPRO,Ended—
4.0,Exmarkets Launchpad,Coin Analyst,"07 Jul, 2018",COY,Coming soonPRO,Ended—
4.2,p2pb2b Launchpad,Level01,"01 Jul, 2018",LVX,Coming soonPRO,Ended—
3.8,Latoken Launchpad,Ubecoin,"12 Apr, 2018",UBE,Coming soonPRO,Ended—
3.2,Exmarkets Launchpad,INTELLIGENT HERO,"10 Jan, 2010",Intelligent Hero,Coming soonPRO,Ended—
3.4,Exmarkets Launchpad,Auditchain,-,AUDT,Coming soonPRO,
